Año,Delito,id_barrio,Barrio,Total delitos,Ratio
2013,ABIGEATO,2,CENTRO,1,4.208045783538125
2013,ABIGEATO,58,"COLON SURESTE, ABAYUBA",1,6.840881105486386
2013,ABIGEATO,32,"MANGA, TOLEDO CHICO",1,3.671341508187091
2013,ABIGEATO,25,"MERCADO MODELO, BOLIVAR",1,6.386919588682378
2013,ABIGEATO,57,PASO DE LA ARENA,3,11.295180722891567
2013,HURTO,41,AGUADA,905,4667.835774706004
2013,HURTO,29,AIRES PUROS,437,2927.7770333645985
2013,HURTO,43,ATAHUALPA,380,4744.662254963167
2013,HURTO,3,BARRIO SUR,499,3511.6115411681913
2013,HURTO,16,BAÑADOS DE CARRASCO,258,1819.4640338504937
2013,HURTO,54,BELVEDERE,818,3992.1913128355295
2013,HURTO,51,BRAZO ORIENTAL,634,3867.7403611517816
2013,HURTO,9,BUCEO,2134,5769.43873688764
2013,HURTO,40,"CAPURRO, BELLA VISTA",694,4171.675883625871
2013,HURTO,14,CARRASCO,877,5821.826872012745
2013,HURTO,15,CARRASCO NORTE,556,4193.378082811675
2013,HURTO,36,"CASABO, PAJAS BLANCAS",460,1540.883663283422
2013,HURTO,30,CASAVALLE,638,2098.684210526316
2013,HURTO,26,"CASTRO, P. CASTELLANOS",348,2580.071174377224
2013,HURTO,2,CENTRO,2208,9291.365090052179
2013,HURTO,27,CERRITO,632,3948.272630724058
2013,HURTO,35,CERRO,1258,4621.431982660446
2013,HURTO,1,CIUDAD VIEJA,1685,12167.822068168689
2013,HURTO,59,COLON CENTRO Y NOROESTE,956,3495.5574244030863
2013,HURTO,58,"COLON SURESTE, ABAYUBA",321,2195.92283486113
2013,HURTO,53,CONCILIACION,449,2259.801701142483
2013,HURTO,4,CORDON,2371,5270.762937933488
2013,HURTO,18,FLOR DE MAROÑAS,516,3002.968049816679
2013,HURTO,22,ITUZAINGO,545,4272.834182673461
2013,HURTO,44,JACINTO VERA,428,5122.681029323759
2013,HURTO,21,JARDINES DEL HIPODROMO,444,2282.8937220422645
2013,HURTO,47,LA BLANQUEADA,702,7191.886077246183
2013,HURTO,49,LA COMERCIAL,472,4171.822520770726
2013,HURTO,45,LA FIGURITA,406,3990.564183212109
2013,HURTO,37,"LA PALOMA, TOMKINSON",863,2219.0223959270784
2013,HURTO,38,LA TEJA,630,3378.9219629927593
2013,HURTO,46,LARRAÑAGA,693,3676.587617380232
2013,HURTO,28,LAS ACACIAS,588,2985.5293221629854
2013,HURTO,19,LAS CANTERAS,488,2234.227634831975
2013,HURTO,60,"LEZICA, MELILLA",595,3451.2761020881667
2013,HURTO,11,MALVIN,1407,4750.16880486158
2013,HURTO,12,MALVIN NORTE,465,2678.880055305911
2013,HURTO,62,MANGA,454,2331.0741425344013
2013,HURTO,32,"MANGA, TOLEDO CHICO",611,2243.189661502313
2013,HURTO,17,"MAROÑAS, PARQUE GUARANI",485,2334.4243357720447
2013,HURTO,25,"MERCADO MODELO, BOLIVAR",696,4445.296033722935
2013,HURTO,55,NUEVO PARIS,639,2133.8409136445603
2013,HURTO,5,PALERMO,379,2951.023904072257
2013,HURTO,6,PARQUE RODO,597,4576.816927322907
2013,HURTO,57,PASO DE LA ARENA,646,2432.2289156626507
2013,HURTO,33,PASO DE LAS DURANAS,531,4355.314960629921
2013,HURTO,34,"PEÑAROL, LAVALLEJA",774,2393.9131510577754
2013,HURTO,31,PIEDRAS BLANCAS,609,2890.639832921967
2013,HURTO,8,POCITOS,2326,3305.057049888458
2013,HURTO,10,"PQUE. BATLLE, V. DOLORES",1860,6196.695095948828
2013,HURTO,39,"PRADO, NUEVA SAVONA",1389,7131.488422241618
2013,HURTO,20,"PTA. RIELES, BELLA ITALIA",554,2305.4515189346653
2013,HURTO,7,PUNTA CARRETAS,1224,4875.134424662445
2013,HURTO,13,PUNTA GORDA,672,4853.387259858443
2013,HURTO,42,REDUCTO,503,3737.8316118005496
2013,HURTO,52,SAYAGO,628,4482.832464844029
2013,HURTO,999,SIN CLASIFICAR,130,
2013,HURTO,50,TRES CRUCES,1506,8872.393071756804
2013,HURTO,56,"TRES OMBUES, VICTORIA",568,3151.1789181692097
2013,HURTO,23,UNION,2738,7171.85740105299
2013,HURTO,24,VILLA ESPAÑOLA,469,2214.980636629829
2013,HURTO,61,"VILLA GARCIA, MANGA RURAL",541,1704.527552852957
2013,HURTO,48,"VILLA MUÑOZ, RETIRO",434,3254.3491301739655
2013,LESIONES,41,AGUADA,65,335.2589230451826
2013,LESIONES,29,AIRES PUROS,26,174.1926839072759
2013,LESIONES,43,ATAHUALPA,10,124.8595330253465
2013,LESIONES,3,BARRIO SUR,31,218.15622800844474
2013,LESIONES,16,BAÑADOS DE CARRASCO,35,246.82651622002822
2013,LESIONES,54,BELVEDERE,67,326.9887750122011
2013,LESIONES,51,BRAZO ORIENTAL,25,152.51342118106393
2013,LESIONES,9,BUCEO,65,175.73267005515302
2013,LESIONES,40,"CAPURRO, BELLA VISTA",33,198.3649915845155
2013,LESIONES,14,CARRASCO,10,66.38343069569835
2013,LESIONES,15,CARRASCO NORTE,24,181.00912587676294
2013,LESIONES,36,"CASABO, PAJAS BLANCAS",95,318.2259739389676
2013,LESIONES,30,CASAVALLE,150,493.4210526315789
2013,LESIONES,26,"CASTRO, P. CASTELLANOS",35,259.48991696322656
2013,LESIONES,2,CENTRO,144,605.9585928294899
2013,LESIONES,27,CERRITO,53,331.10514150059345
