Departamento,Lema,CantidadVotos_2024,CantidadVotos_2019,TotalVotos_2024,TotalVotos_2019,DifVotos,Habilitados,Share_2024,Share_2019,VariacionShare
Artigas,PERI,19,168,41235,43161,-149,7111.0,0.0004607736146477507,0.0038924028636963927,-0.0034316292490486422
Artigas,Partido Asamblea Popular,75,150,48555,49986,-75,5330.272727272727,0.0015446400988569664,0.0030008402352658743,-0.001456200136408908
Artigas,Partido Cabildo Abierto,3094,9750,51725,53129,-6656,3007.809523809524,0.059816336394393425,0.18351559411997215,-0.12369925772557872
Artigas,Partido Colorado,9468,4632,51750,53149,4836,2748.217391304348,0.18295652173913043,0.08715121639165366,0.09580530534747678
Artigas,Partido Frente Amplio,17117,14673,51744,53140,2444,2872.409090909091,0.33080163883735314,0.2761196838539706,0.05468195498338252
Artigas,Partido Independiente,262,145,48791,50171,117,5365.636363636364,0.005369842798876842,0.0028901158039504895,0.0024797269949263525
Artigas,Partido Nacional,20964,23498,51750,53149,-2534,2748.217391304348,0.40510144927536235,0.4421155619108544,-0.037014112635492036
Artigas,Partido VA/IS (G.Salle),751,133,49157,50631,618,5409.454545454545,0.015277579998779421,0.002626849163555924,0.012650730835223497
Canelones,PERI,1798,6363,361018,343760,-4565,10787.4,0.004980361090028752,0.01851000698161508,-0.013529645891586329
Canelones,Partido Asamblea Popular,1701,3116,360709,343454,-1415,11054.076923076924,0.0047157126658885695,0.009072539554059641,-0.004356826888171072
Canelones,Partido Cabildo Abierto,7705,34466,361191,343958,-26761,10529.585365853658,0.021332203737080935,0.1002040946859791,-0.07887189094889817
Canelones,Partido Colorado,55523,34943,361191,343958,20580,10529.585365853658,0.1537219919654698,0.10159089191122173,0.052131100054248064
Canelones,Partido Frente Amplio,189549,157491,361191,343958,32058,10529.585365853658,0.5247888236417851,0.457878578198501,0.06691024544328417
Canelones,Partido Independiente,4725,3579,361191,343958,1146,10529.585365853658,0.01308172130534814,0.010405340186883282,0.002676381118464858
Canelones,Partido Nacional,89795,100915,361191,343958,-11120,10529.585365853658,0.2486080771669283,0.29339337942423205,-0.04478530225730376
Canelones,Partido VA/IS (G.Salle),10395,3085,361018,343760,7310,10787.4,0.02879357815953775,0.008974284384454271,0.01981929377508348
Cerro Largo,PERI,115,295,55655,56563,-180,5950.0,0.0020663013206360615,0.005215423510068419,-0.0031491221894323577
Cerro Largo,Partido Asamblea Popular,41,166,49285,50326,-125,5832.1,0.0008318961144364411,0.0032984938202916983,-0.002466597705855257
Cerro Largo,Partido Cabildo Abierto,2005,11730,61393,62305,-9725,2435.6666666666665,0.032658446402684345,0.1882673942701228,-0.15560894786743845
Cerro Largo,Partido Colorado,8022,5054,61476,62377,2968,2218.6363636363635,0.13048994729650595,0.08102345415778252,0.049466493138723436
Cerro Largo,Partido Frente Amplio,21100,19337,61463,62371,1763,2287.09375,0.3432959666791403,0.310031905853682,0.0332640608254583
Cerro Largo,Partido Independiente,416,245,56908,58397,171,5595.333333333333,0.007310044281999016,0.004195420997653989,0.003114623284345027
Cerro Largo,Partido Nacional,28466,25205,61476,62377,3261,2218.6363636363635,0.46304248812544735,0.404075220033025,0.058967268092422365
Cerro Largo,Partido VA/IS (G.Salle),1311,345,58519,59585,966,4621.333333333333,0.022402980228643687,0.005790047830829907,0.01661293239781378
Colonia,PERI,293,938,89753,90292,-645,3822.1071428571427,0.0032645148351587135,0.010388517255127808,-0.007124002419969094
Colonia,Partido Asamblea Popular,234,452,85850,86194,-218,5116.5,0.0027256843331391963,0.005243984500081212,-0.0025183001669420156
Colonia,Partido Cabildo Abierto,1404,6841,90320,90872,-5437,3474.3548387096776,0.015544729849424269,0.07528171493969539,-0.05973698509027112
Colonia,Partido Colorado,15911,15558,90480,91024,353,3269.878787878788,0.17585101679929266,0.17092195464932325,0.00492906214996941
Colonia,Partido Frente Amplio,36574,33716,90480,91024,2858,3269.878787878788,0.40422192749778957,0.37040780453506766,0.033814122962721904
Colonia,Partido Independiente,1268,865,89458,89922,403,4102.692307692308,0.0141742493684187,0.00961944796601499,0.00455480140240371
Colonia,Partido Nacional,32791,32254,90480,91024,537,3269.878787878788,0.36241158267020335,0.354346106521357,0.00806547614884634
Colonia,Partido VA/IS (G.Salle),2005,400,89333,89827,1605,3946.259259259259,0.022444113597438798,0.004453004107896289,0.01799110948954251
Durazno,PERI,113,268,40325,40823,-155,3159.2,0.0028022318660880347,0.00656492663449526,-0.003762694768407225
Durazno,Partido Asamblea Popular,144,293,38750,39095,-149,3790.0,0.0037161290322580646,0.007494564522317432,-0.0037784354900593673
Durazno,Partido Cabildo Abierto,1032,7808,42606,42988,-6776,1858.6296296296296,0.024221940571750457,0.18163208337210385,-0.1574101428003534
Durazno,Partido Colorado,9221,5611,42839,43191,3610,1578.375,0.21524778823035084,0.1299113241184506,0.08533646411190024
Durazno,Partido Frente Amplio,15772,12823,42826,43179,2949,1628.6129032258063,0.36828095082426565,0.2969730656105977,0.07130788521366793
Durazno,Partido Independiente,401,307,41789,42208,94,2889.0588235294117,0.009595826652946948,0.007273502653525398,0.00232232399942155
Durazno,Partido Nacional,15274,15961,42848,43202,-687,1531.090909090909,0.3564693801344287,0.3694504884033147,-0.012981108268885988
Durazno,Partido VA/IS (G.Salle),891,131,39505,40073,760,3567.230769230769,0.02255410707505379,0.003269034012926409,0.01928507306212738
Flores,PERI,45,132,18918,19097,-87,5507.25,0.002378686964795433,0.006912080431481385,-0.004533393466685952
Flores,Partido Asamblea Popular,34,66,17726,17908,-32,10331.0,0.0019180864267178156,0.0036855036855036856,-0.00176741725878587
Flores,Partido Cabildo Abierto,304,2728,18934,19121,-2424,4410.0,0.01605577268406042,0.14267036242874326,-0.12661458974468284
Flores,Partido Colorado,4118,3867,18934,19121,251,4410.0,0.21749234181895002,0.2022383766539407,0.01525396516500932
Flores,Partido Frente Amplio,5497,5154,18946,19133,343,3677.6666666666665,0.2901403990288188,0.2693775152877228,0.020762883741095972
Flores,Partido Independiente,182,112,18918,19097,70,5507.25,0.009620467279839307,0.005864795517620569,0.003755671762218738
Flores,Partido Nacional,8443,7006,18946,19133,1437,3677.6666666666665,0.44563496252507123,0.3661736267182355,0.07946133580683573
Flores,Partido VA/IS (G.Salle),323,68,17956,18165,255,6979.0,0.017988416128313655,0.003743462703000275,0.01424495342531338
Florida,PERI,194,337,45427,46052,-143,3401.8125,0.004270587976313646,0.007317814644315122,-0.0030472266680014754
Florida,Partido Asamblea Popular,115,228,41125,41608,-113,4448.454545454545,0.0027963525835866263,0.0054797154393385885,-0.0026833628557519622
Florida,Partido Cabildo Abierto,681,5092,46963,47339,-4411,2255.4,0.014500777207588952,0.10756458733813558,-0.09306381013054663
Florida,Partido Colorado,8874,7499,47689,48089,1375,1739.1818181818182,0.18608064752878023,0.1559400278650003,0.030140619663779927
Florida,Partido Frente Amplio,19059,16644,47713,48105,2415,1641.1142857142856,0.39945088340703794,0.3459931400062364,0.05345774340080156
Florida,Partido Independiente,618,387,46433,46738,231,2651.904761904762,0.013309499709258502,0.008280200265308742,0.00502929944394976
