Series,Lema,Departamento_x,CantidadVotos_2024,CantidadVotos_2019,TotalVotos_2024,TotalVotos_2019,Share_2024,Share_2019,VariacionShare,DifVotos,Serie,Departamento,Municipio,Habilitados
AAA,Partido Asamblea Popular,MO,43,59,4607,4564,0.009333622747992185,0.012927256792287466,-0.003593634044295281,-16,AAA,Montevideo,Municipio B,6293.0
AAA,Partido Cabildo Abierto,MO,172,697,4607,4564,0.03733449099196874,0.15271691498685364,-0.1153824239948849,-525,AAA,Montevideo,Municipio B,6293.0
AAA,Partido Colorado,MO,649,351,4607,4564,0.1408725851964402,0.07690622261174408,0.06396636258469611,298,AAA,Montevideo,Municipio B,6293.0
AAA,PERI,MO,21,59,4607,4564,0.0045582808769264165,0.012927256792287466,-0.00836897591536105,-38,AAA,Montevideo,Municipio B,6293.0
AAA,Partido Frente Amplio,MO,2584,2280,4607,4564,0.5608856088560885,0.49956178790534617,0.06132382095074235,304,AAA,Montevideo,Municipio B,6293.0
AAA,Partido VA/IS (G.Salle),MO,167,53,4607,4564,0.03624918602127198,0.01161262050832603,0.02463656551294595,114,AAA,Montevideo,Municipio B,6293.0
AAA,Partido Independiente,MO,102,55,4607,4564,0.02214022140221402,0.012050832602979842,0.010089388799234178,47,AAA,Montevideo,Municipio B,6293.0
AAA,Partido Nacional,MO,869,1010,4607,4564,0.18862600390709788,0.22129710780017528,-0.0326711038930774,-141,AAA,Montevideo,Municipio B,6293.0
ABA ABB,Partido Cabildo Abierto,MO,9,25,275,272,0.03272727272727273,0.09191176470588236,-0.05918449197860963,-16,,,,
ABA ABB,Partido Colorado,MO,45,42,275,272,0.16363636363636364,0.15441176470588236,0.009224598930481276,3,,,,
ABA ABB,PERI,MO,2,3,275,272,0.007272727272727273,0.011029411764705883,-0.0037566844919786103,-1,,,,
ABA ABB,Partido Frente Amplio,MO,142,114,275,272,0.5163636363636364,0.41911764705882354,0.09724598930481282,28,,,,
ABA ABB,Partido VA/IS (G.Salle),MO,10,1,275,272,0.03636363636363636,0.003676470588235294,0.03268716577540107,9,,,,
ABA ABB,Partido Nacional,MO,67,87,275,272,0.24363636363636362,0.31985294117647056,-0.07621657754010694,-20,,,,
ACA,Partido Asamblea Popular,MO,35,72,4939,4535,0.007086454747924681,0.01587651598676957,-0.008790061238844888,-37,ACA,Montevideo,Municipio B,6073.0
ACA,Partido Cabildo Abierto,MO,99,390,4939,4535,0.0200445434298441,0.08599779492833518,-0.06595325149849107,-291,ACA,Montevideo,Municipio B,6073.0
ACA,Partido Colorado,MO,649,426,4939,4535,0.13140311804008908,0.09393605292171996,0.03746706511836913,223,ACA,Montevideo,Municipio B,6073.0
ACA,PERI,MO,17,80,4939,4535,0.003441992306134845,0.017640573318632856,-0.014198581012498011,-63,ACA,Montevideo,Municipio B,6073.0
ACA,Partido Frente Amplio,MO,2995,2447,4939,4535,0.6063980562866977,0.5395810363836825,0.06681701990301525,548,ACA,Montevideo,Municipio B,6073.0
ACA,Partido VA/IS (G.Salle),MO,178,62,4939,4535,0.036039684146588376,0.013671444321940463,0.02236823982464791,116,ACA,Montevideo,Municipio B,6073.0
ACA,Partido Independiente,MO,113,58,4939,4535,0.02287912532901397,0.01278941565600882,0.010089709673005149,55,ACA,Montevideo,Municipio B,6073.0
ACA,Partido Nacional,MO,853,1000,4939,4535,0.17270702571370722,0.2205071664829107,-0.04780014076920347,-147,ACA,Montevideo,Municipio B,6073.0
ACB,Partido Asamblea Popular,MO,1,4,521,550,0.0019193857965451055,0.007272727272727273,-0.005353341476182168,-3,ACB,Montevideo,Municipio B,994.0
ACB,Partido Cabildo Abierto,MO,28,64,521,550,0.053742802303262956,0.11636363636363636,-0.06262083406037341,-36,ACB,Montevideo,Municipio B,994.0
ACB,Partido Colorado,MO,92,91,521,550,0.1765834932821497,0.16545454545454547,0.011128947827604235,1,ACB,Montevideo,Municipio B,994.0
ACB,PERI,MO,4,7,521,550,0.007677543186180422,0.012727272727272728,-0.005049729541092306,-3,ACB,Montevideo,Municipio B,994.0
ACB,Partido Frente Amplio,MO,238,216,521,550,0.45681381957773515,0.3927272727272727,0.06408654685046244,22,ACB,Montevideo,Municipio B,994.0
ACB,Partido VA/IS (G.Salle),MO,10,5,521,550,0.019193857965451054,0.00909090909090909,0.010102948874541964,5,ACB,Montevideo,Municipio B,994.0
ACB,Partido Independiente,MO,18,8,521,550,0.0345489443378119,0.014545454545454545,0.020003489792357356,10,ACB,Montevideo,Municipio B,994.0
ACB,Partido Nacional,MO,130,155,521,550,0.2495201535508637,0.2818181818181818,-0.03229802826731809,-25,ACB,Montevideo,Municipio B,994.0
ACB ADA,Partido Asamblea Popular,MO,5,3,239,259,0.02092050209205021,0.011583011583011582,0.009337490509038626,2,,,,
ACB ADA,Partido Cabildo Abierto,MO,4,32,239,259,0.016736401673640166,0.12355212355212356,-0.10681572187848339,-28,,,,
ACB ADA,Partido Colorado,MO,53,23,239,259,0.2217573221757322,0.0888030888030888,0.1329542333726434,30,,,,
ACB ADA,PERI,MO,2,5,239,259,0.008368200836820083,0.019305019305019305,-0.010936818468199222,-3,,,,
ACB ADA,Partido Frente Amplio,MO,111,116,239,259,0.46443514644351463,0.44787644787644787,0.016558698567066765,-5,,,,
ACB ADA,Partido Independiente,MO,9,2,239,259,0.03765690376569038,0.007722007722007722,0.029934896043682657,7,,,,
ACB ADA,Partido Nacional,MO,55,78,239,259,0.2301255230125523,0.30115830115830117,-0.07103277814574888,-23,,,,
ADA ADB,Partido Asamblea Popular,MO,1,3,272,276,0.003676470588235294,0.010869565217391304,-0.00719309462915601,-2,,,,
ADA ADB,Partido Cabildo Abierto,MO,16,30,272,276,0.058823529411764705,0.10869565217391304,-0.049872122762148335,-14,,,,
ADA ADB,Partido Colorado,MO,35,32,272,276,0.12867647058823528,0.11594202898550725,0.012734441602728033,3,,,,
ADA ADB,PERI,MO,3,6,272,276,0.011029411764705883,0.021739130434782608,-0.010709718670076725,-3,,,,
ADA ADB,Partido Frente Amplio,MO,132,124,272,276,0.4852941176470588,0.4492753623188406,0.036018755328218244,8,,,,
ADA ADB,Partido VA/IS (G.Salle),MO,11,2,272,276,0.04044117647058824,0.007246376811594203,0.03319479965899404,9,,,,
ADA ADB,Partido Independiente,MO,12,4,272,276,0.04411764705882353,0.014492753623188406,0.029624893435635125,8,,,,
ADA ADB,Partido Nacional,MO,62,75,272,276,0.22794117647058823,0.2717391304347826,-0.043797953964194364,-13,,,,
AEA,Partido Cabildo Abierto,MO,10,52,276,569,0.036231884057971016,0.0913884007029877,-0.05515651664501669,-42,AEA,Montevideo,Municipio B,763.0
AEA,Partido Colorado,MO,55,93,276,569,0.19927536231884058,0.1634446397188049,0.03583072260003567,-38,AEA,Montevideo,Municipio B,763.0
AEA,Partido Frente Amplio,MO,95,234,276,569,0.3442028985507246,0.4112478031634446,-0.06704490461272,-139,AEA,Montevideo,Municipio B,763.0
AEA,Partido VA/IS (G.Salle),MO,6,3,276,569,0.021739130434782608,0.005272407732864675,0.016466722701917933,3,AEA,Montevideo,Municipio B,763.0
AEA,Partido Independiente,MO,19,10,276,569,0.06884057971014493,0.01757469244288225,0.05126588726726268,9,AEA,Montevideo,Municipio B,763.0
AEA,Partido Nacional,MO,91,177,276,569,0.32971014492753625,0.3110720562390158,0.01863808868852046,-86,AEA,Montevideo,Municipio B,763.0
AEA AEB,Partido Asamblea Popular,MO,2,5,316,288,0.006329113924050633,0.017361111111111112,-0.01103199718706048,-3,,,,
AEA AEB,Partido Cabildo Abierto,MO,10,25,316,288,0.03164556962025317,0.08680555555555555,-0.055159985935302386,-15,,,,
AEA AEB,Partido Colorado,MO,41,36,316,288,0.12974683544303797,0.125,0.004746835443037972,5,,,,
AEA AEB,PERI,MO,2,7,316,288,0.006329113924050633,0.024305555555555556,-0.017976441631504924,-5,,,,
AEA AEB,Partido Frente Amplio,MO,159,111,316,288,0.5031645569620253,0.3854166666666667,0.11774789029535865,48,,,,
AEA AEB,Partido VA/IS (G.Salle),MO,11,4,316,288,0.03481012658227848,0.013888888888888888,0.02092123769338959,7,,,,
