Municipio,Lema,Departamento,CantidadVotos_2024,CantidadVotos_2019,TotalVotos_2024,TotalVotos_2019,DifVotos,Habilitados,Share_2024,Share_2019,VariacionShare
18 De Julio,PERI,Rocha,1,11,879,902,-10,1037.0,0.0011376564277588168,0.012195121951219513,-0.011057465523460696
18 De Julio,Partido Asamblea Popular,Rocha,5,11,879,902,-6,1037.0,0.005688282138794084,0.012195121951219513,-0.0065068398124254285
18 De Julio,Partido Cabildo Abierto,Rocha,11,195,879,902,-184,1037.0,0.012514220705346985,0.21618625277161863,-0.20367203206627163
18 De Julio,Partido Colorado,Rocha,186,106,879,902,80,1037.0,0.21160409556313994,0.11751662971175167,0.09408746585138827
18 De Julio,Partido Frente Amplio,Rocha,342,306,879,902,36,1037.0,0.3890784982935154,0.3392461197339246,0.04983237855959077
18 De Julio,Partido Independiente,Rocha,4,2,879,902,2,1037.0,0.004550625711035267,0.0022172949002217295,0.0023333308108135376
18 De Julio,Partido Nacional,Rocha,307,269,879,902,38,1037.0,0.3492605233219568,0.2982261640798226,0.051034359242134175
18 De Julio,Partido VA/IS (G.Salle),Rocha,23,2,879,902,21,1037.0,0.026166097838452786,0.0022172949002217295,0.023948802938231057
18 De Mayo,PERI,Canelones,35,105,11267,9662,-70,13314.0,0.0031064169699121327,0.010867315255640653,-0.007760898285728521
18 De Mayo,Partido Asamblea Popular,Canelones,40,65,11267,9662,-25,13314.0,0.0035501908227567234,0.006727385634444215,-0.0031771948116874915
18 De Mayo,Partido Cabildo Abierto,Canelones,241,921,11267,9662,-680,13314.0,0.021389899707109257,0.09532187952804802,-0.07393197982093877
18 De Mayo,Partido Colorado,Canelones,1741,760,11267,9662,981,13314.0,0.15452205556048637,0.07865866280273236,0.07586339275775401
18 De Mayo,Partido Frente Amplio,Canelones,6879,5142,11267,9662,1737,13314.0,0.6105440667435875,0.5321879528048024,0.07835611393878517
18 De Mayo,Partido Independiente,Canelones,49,91,11267,9662,-42,13314.0,0.004348983757876986,0.0094183398882219,-0.005069356130344914
18 De Mayo,Partido Nacional,Canelones,1998,2518,11267,9662,-520,13314.0,0.17733203159669833,0.2606085696543159,-0.08327653805761756
18 De Mayo,Partido VA/IS (G.Salle),Canelones,284,60,11267,9662,224,13314.0,0.025206354841572735,0.00620989443179466,0.018996460409778076
Aceguá,Partido Cabildo Abierto,Cerro Largo,43,158,1407,1390,-115,1784.0,0.030561478322672354,0.11366906474820145,-0.0831075864255291
Aceguá,Partido Colorado,Cerro Largo,139,59,1407,1390,80,1784.0,0.09879175550817342,0.04244604316546763,0.05634571234270579
Aceguá,Partido Frente Amplio,Cerro Largo,385,327,1407,1390,58,1784.0,0.2736318407960199,0.23525179856115108,0.038380042234868794
